start_frame,end_frame,num_frames,hole_number,previous_hole,distance
19,26,7,1,-1,0.0
29,35,6,2,1,64.18656420938301
38,39,1,3,2,65.35445687722435
42,43,1,4,3,67.18061662598727
45,49,4,5,4,68.89659177654345
60,62,2,6,5,70.12030604849944
66,69,3,7,6,70.70311425164343
77,79,2,7,7,0.0
82,83,1,8,7,70.7154414886205
96,98,2,9,8,70.15069820173255
124,126,2,11,9,137.37393582312717
128,129,1,12,11,70.44298546772994
130,133,3,12,12,0.0
136,137,1,13,12,70.52717777237025
143,145,2,13,13,0.0
148,150,2,13,13,0.0
152,155,3,14,13,73.76716008354856
169,172,3,14,14,0.0
177,188,11,15,14,72.45310665778335
190,194,4,15,15,0.0
198,237,39,16,15,71.79496776916407
239,256,17,16,16,0.0
276,312,36,16,16,0.0
