start_frame,end_frame,num_frames,hole_number,previous_hole,distance
4,5,1,11,-1,0.0
7,11,4,10,11,69.7641146319148
13,15,2,11,10,69.7641146319148
17,19,2,12,11,70.41053225588828
22,25,3,14,12,142.12065516944148
26,28,2,15,14,72.55413228881189
30,34,4,16,15,72.03224575346051
66,67,1,18,16,137.08781014076084
85,89,4,19,18,66.18706576364768
91,92,1,20,19,64.40221165356428
94,96,2,1,20,63.85069276711
98,99,1,2,1,64.18949962913828
101,149,48,3,2,65.23564033259976
154,194,40,4,3,67.33610761837754
196,211,15,5,4,68.99427151850651
214,219,5,6,5,70.17405485281951
221,229,8,7,6,70.74093637952109
232,291,59,8,7,70.5886385038395
