start_frame,end_frame,num_frames,hole_number,previous_hole,distance
14,17,3,17,-1,0.0
21,22,1,15,17,140.79382101352013
24,25,1,14,15,72.55590081419841
28,30,2,13,14,73.98299158519544
32,52,20,12,13,70.51382736168128
56,64,8,11,12,70.3946605592822
65,66,1,11,11,0.0
67,70,3,11,11,0.0
72,77,5,11,11,0.0
81,88,7,10,11,69.7627199249011
91,105,14,9,10,69.7031515325613
109,150,41,8,9,70.27913779572629
154,164,10,9,8,70.27913779572629
170,174,4,10,9,69.7031515325613
177,181,4,11,10,69.7627199249011
183,184,1,11,11,0.0
185,189,4,11,11,0.0
193,197,4,12,11,70.3946605592822
201,213,12,12,12,0.0
219,229,10,12,12,0.0
232,238,6,12,12,0.0
255,256,1,14,12,142.12415874552872
261,267,6,15,14,72.55590081419841
273,281,8,16,15,72.01578670365205
285,294,9,17,16,70.3380838191382
298,305,7,18,17,68.31387170681408
308,724,416,19,18,65.40340055509766
734,1128,394,19,19,0.0
