start_frame,end_frame,num_frames,hole_number,previous_hole,distance
25,27,2,5,-1,0.0
32,34,2,2,5,195.7062797188381
35,36,1,1,2,64.18306631826792
38,39,1,20,1,63.84285152278553
59,60,1,12,20,433.1537606724776
63,66,3,11,12,70.38911093080849
72,73,1,12,11,70.38911093080849
78,81,3,13,12,70.58425679979325
83,88,5,14,13,73.94194175969882
95,100,5,15,14,72.52171053364694
104,107,3,15,15,0.0
111,153,42,16,15,71.94063695406955
167,168,1,12,16,271.3916593644747
171,179,8,11,12,70.38911093080849
181,196,15,10,11,69.7399321241007
199,226,27,9,10,69.6802653885395
232,290,58,8,9,70.13557536128302
