start_frame,end_frame,num_frames,hole_number,previous_hole,distance
17,19,2,16,-1,0.0
30,31,1,19,16,198.54146722253688
33,34,1,1,19,126.52252356075432
36,38,2,2,1,64.1728552871794
41,42,1,3,2,65.40764543063254
71,73,2,15,3,405.4858890499959
83,87,4,16,15,72.02650927388265
91,95,4,17,16,70.34931263385567
98,101,3,17,17,0.0
112,116,4,18,17,68.28904856823327
119,121,2,19,18,66.13213068881336
128,131,3,19,19,0.0
135,136,1,20,19,64.38176649589788
140,152,12,1,20,63.80155889192198
160,167,7,2,1,64.1728552871794
175,192,17,4,2,131.11617093745753
196,208,12,5,4,68.86589345266964
212,218,6,6,5,70.10976376083305
221,233,12,7,6,70.74860998434583
245,252,7,8,7,70.60001934541641
473,477,4,9,8,70.1490417242727
487,502,15,10,9,69.71269162198719
505,509,4,10,10,0.0
514,517,3,11,10,69.71637405217729
523,535,12,11,11,0.0
541,554,13,12,11,70.45939347696267
559,560,1,13,12,70.6290116583407
