start_frame,end_frame,num_frames,hole_number,previous_hole,distance
35,38,3,17,-1,0.0
45,54,9,17,17,0.0
68,78,10,16,17,70.35012428409061
96,97,1,15,16,71.93981867500133
99,110,11,15,15,0.0
117,119,2,15,15,0.0
124,132,8,15,15,0.0
142,150,8,16,15,71.93981867500133
158,165,7,16,16,0.0
166,177,11,16,16,0.0
183,193,10,16,16,0.0
201,209,8,16,16,0.0
233,283,50,16,16,0.0
284,297,13,16,16,0.0
298,312,14,16,16,0.0
318,326,8,17,16,70.35012428409061
327,337,10,17,17,0.0
347,356,9,17,17,0.0
365,385,20,16,17,70.35012428409061
410,412,2,16,16,0.0
422,425,3,16,16,0.0
430,437,7,16,16,0.0
445,451,6,15,16,71.93981867500133
454,462,8,15,15,0.0
475,485,10,16,15,71.93981867500133
489,491,2,17,16,70.35012428409061
492,499,7,17,17,0.0
501,521,20,17,17,0.0
528,537,9,18,17,68.20074594908297
538,548,10,18,18,0.0
550,561,11,18,18,0.0
576,609,33,18,18,0.0
616,623,7,18,18,0.0
632,646,14,19,18,66.2099471923452
674,715,41,20,19,64.435114351341
716,718,2,20,20,0.0
726,742,16,20,20,0.0
746,750,4,20,20,0.0
758,772,14,19,20,64.435114351341
776,786,10,18,19,66.2099471923452
789,794,5,17,18,68.20074594908297
800,817,17,17,17,0.0
830,909,79,18,17,68.20074594908297
911,933,22,18,18,0.0
936,957,21,18,18,0.0
961,980,19,17,18,68.20074594908297
983,1000,17,16,17,70.35012428409061
1003,1006,3,15,16,71.93981867500133
1007,1012,5,15,15,0.0
1013,1018,5,15,15,0.0
1038,1051,13,14,15,72.54716047745065
1057,1068,11,15,14,72.54716047745065
1073,1078,5,16,15,71.93981867500133
1082,1093,11,17,16,70.35012428409061
1098,1105,7,18,17,68.20074594908297
1106,1108,2,18,18,0.0
1113,1119,6,19,18,66.2099471923452
1126,1137,11,20,19,64.435114351341
1140,1145,5,20,20,0.0
1149,1187,38,1,20,63.81975668671923
1192,1223,31,2,1,64.02162622874785
1226,1239,13,2,2,0.0
