start_frame,end_frame,num_frames,hole_number,previous_hole,distance
34,35,1,3,-1,0.0
36,39,3,2,3,65.38846645340023
41,43,2,1,2,64.19668757114854
57,58,1,17,1,246.3822762465909
61,65,4,16,17,70.34352736986662
68,69,1,15,16,72.03840052589915
78,80,2,13,15,144.7831668933735
88,90,2,11,13,139.44947698887876
93,110,17,10,11,69.44493455224224
111,112,1,10,10,0.0
113,114,1,10,10,0.0
125,242,117,10,10,0.0
244,246,2,10,10,0.0
333,381,48,11,10,69.44493455224224
385,425,40,11,11,0.0
452,519,67,11,11,0.0
533,704,171,11,11,0.0
705,758,53,11,11,0.0
772,987,215,11,11,0.0
988,1034,46,11,11,0.0
1035,1146,111,11,11,0.0
1148,1161,13,11,11,0.0
1162,1355,193,11,11,0.0
1356,1359,3,11,11,0.0
1377,1378,1,11,11,0.0
1379,1391,12,11,11,0.0
1393,1411,18,11,11,0.0
