start_frame,end_frame,num_frames,hole_number,previous_hole,distance
16,18,2,1,-1,0.0
20,21,1,20,1,63.79807543620154
22,23,1,19,20,64.41353891210228
41,42,1,13,19,370.17970940649707
46,92,46,12,13,70.82974220600808
102,113,11,11,12,70.38387107350131
117,122,5,10,11,69.73582279950804
125,132,7,11,10,69.73582279950804
142,144,2,12,11,70.38387107350131
148,160,12,12,12,0.0
167,171,4,13,12,70.82974220600808
173,175,2,13,13,0.0
177,182,5,13,13,0.0
187,190,3,14,13,73.69841020529492
192,195,3,14,14,0.0
200,204,4,15,14,72.51706715526842
207,211,4,15,15,0.0
216,229,13,16,15,72.02184302264803
233,245,12,17,16,70.35057957178091
282,285,3,5,17,399.375159055945
289,290,1,6,5,70.09786100987469
291,309,18,6,6,0.0
320,323,3,6,6,0.0
335,344,9,3,6,200.46468669209148
346,354,8,2,3,65.39016746276683
355,392,37,2,2,0.0
393,398,5,2,2,0.0
404,406,2,1,2,64.20601323899588
414,415,1,1,1,0.0
416,442,26,1,1,0.0
450,451,1,19,1,126.5503247992192
453,458,5,18,19,66.16308910908931
461,463,2,18,18,0.0
466,467,1,17,18,68.28786272617484
469,487,18,16,17,70.35057957178091
498,500,2,15,16,72.02184302264803
506,520,14,13,15,144.60146635029827
529,548,19,13,13,0.0
552,561,9,12,13,70.82974220600808
563,570,7,12,12,0.0
582,583,1,11,12,70.38387107350131
584,594,10,11,11,0.0
601,608,7,12,11,70.38387107350131
609,610,1,12,12,0.0
611,616,5,12,12,0.0
628,641,13,13,12,70.82974220600808
644,650,6,14,13,73.69841020529492
653,662,9,15,14,72.51706715526842
719,722,3,6,15,422.7097835378994
726,727,1,5,6,70.09786100987469
765,767,2,5,5,0.0
770,771,1,4,5,68.89687971017446
796,801,5,4,4,0.0
803,805,2,3,4,67.19577784638952
818,829,11,2,3,65.39016746276683
843,844,1,1,2,64.20601323899588
889,892,3,8,1,398.6844891827341
896,906,10,9,8,70.13667007057427
949,951,2,10,9,69.72657554387257
953,956,3,11,10,69.73582279950804
963,966,3,12,11,70.38387107350131
968,980,12,12,12,0.0
989,993,4,12,12,0.0
997,1000,3,12,12,0.0
1008,1009,1,12,12,0.0
1017,1019,2,12,12,0.0
1020,1023,3,12,12,0.0
1028,1036,8,12,12,0.0
1038,1041,3,12,12,0.0
1048,1069,21,13,12,70.82974220600808
1073,1076,3,12,13,70.82974220600808
1107,1129,22,12,12,0.0
