start_frame,end_frame,num_frames,hole_number,previous_hole,distance
9,11,2,11,-1,0.0
14,15,1,10,11,69.75192286234348
18,22,4,9,10,70.02629045954673
25,49,24,8,9,69.65730492251957
56,77,21,7,8,70.74462782971727
83,92,9,8,7,70.74462782971727
93,119,26,8,8,0.0
125,475,350,9,8,69.65730492251957
479,490,11,9,9,0.0
502,732,230,8,9,69.65730492251957
