start_frame,end_frame,num_frames,hole_number,previous_hole,distance
20,26,6,15,-1,0.0
68,74,6,15,15,0.0
88,112,24,14,15,72.3897076032943
114,135,21,14,14,0.0
156,158,2,11,14,206.64637267923095
169,171,2,9,11,137.37094256628447
174,176,2,9,9,0.0
180,182,2,8,9,70.11598214232473
183,185,2,8,8,0.0
190,191,1,7,8,70.64162563769993
193,195,2,7,7,0.0
200,203,3,6,7,70.73316722309715
209,213,4,5,6,70.13678188636543
217,223,6,4,5,68.86567732478098
226,230,4,3,4,67.19176454444829
231,289,58,2,3,65.93422784694215
