start_frame,end_frame,num_frames,hole_number,previous_hole,distance
5,6,1,20,-1,0.0
8,11,3,1,20,63.80058177717053
12,13,1,1,1,0.0
14,15,1,1,1,0.0
22,25,3,2,1,64.19440598823618
28,30,2,3,2,65.39833290898993
32,36,4,4,3,67.19345941816812
40,41,1,5,4,68.90806825777778
42,51,9,5,5,0.0
53,54,1,6,5,70.14975495729938
57,58,1,7,6,70.71481319267487
60,65,5,8,7,70.62294204069411
67,80,13,9,8,70.10825739465915
85,93,8,10,9,69.691531821502
96,100,4,11,10,69.7541347709765
103,106,3,12,11,70.39914648408164
107,111,4,12,12,0.0
112,116,4,12,12,0.0
122,134,12,14,12,142.1914797318204
141,147,6,15,14,72.57299832727404
150,163,13,16,15,72.03746680728223
166,168,2,17,16,70.35468992140467
170,171,1,18,17,68.3087986872806
174,175,1,19,18,65.9751381885293
176,180,4,20,19,64.60057513567448
188,191,3,1,20,63.80058177717053
195,197,2,2,1,64.19440598823618
199,200,1,3,2,65.39833290898993
203,204,1,4,3,67.19345941816812
207,208,1,5,4,68.90806825777778
213,214,1,7,5,139.36278126174048
216,221,5,8,7,70.62294204069411
225,228,3,8,8,0.0
233,235,2,9,8,70.10825739465915
239,248,9,10,9,69.691531821502
251,253,2,11,10,69.7541347709765
256,259,3,12,11,70.39914648408164
263,265,2,13,12,70.51417124707073
268,270,2,14,13,74.05323959550759
277,279,2,15,14,72.57299832727404
281,288,7,16,15,72.03746680728223
295,299,4,16,16,0.0
301,302,1,17,16,70.35468992140467
305,306,1,18,17,68.3087986872806
309,312,3,19,18,65.9751381885293
314,320,6,19,19,0.0
321,347,26,19,19,0.0
352,395,43,19,19,0.0
398,407,9,19,19,0.0
415,416,1,18,19,65.9751381885293
443,450,7,10,18,432.3353914298641
454,466,12,9,10,69.691531821502
471,472,1,10,9,69.691531821502
476,477,1,11,10,69.7541347709765
478,487,9,11,11,0.0
488,491,3,11,11,0.0
492,500,8,11,11,0.0
504,518,14,10,11,69.7541347709765
523,526,3,11,10,69.7541347709765
528,537,9,11,11,0.0
