start_frame,end_frame,num_frames,hole_number,previous_hole,distance
44,45,1,19,-1,0.0
52,56,4,20,19,64.39455799716208
57,61,4,1,20,63.84602134996148
62,65,3,1,1,0.0
69,77,8,2,1,64.09023746528636
83,93,10,3,2,65.62688206384321
98,103,5,4,3,67.16133662524717
113,135,22,5,4,68.84350555695625
150,153,3,5,5,0.0
159,165,6,6,5,70.16284320657361
170,179,9,7,6,70.6630084163924
198,204,6,7,7,0.0
210,217,7,8,7,70.73115204635634
224,240,16,9,8,70.10675676242778
250,253,3,9,9,0.0
255,256,1,9,9,0.0
270,278,8,10,9,69.78314907589622
291,294,3,10,10,0.0
311,320,9,12,10,137.99754752540582
324,325,1,12,12,0.0
329,334,5,12,12,0.0
341,348,7,13,12,70.67003637152409
349,352,3,13,13,0.0
357,360,3,14,13,73.66546836325544
361,362,1,14,14,0.0
370,372,2,14,14,0.0
374,377,3,14,14,0.0
396,400,4,17,14,208.5607778655301
405,406,1,18,17,68.26736583258071
409,412,3,19,18,66.13346038924603
430,434,4,3,19,241.57262316025447
440,442,2,4,3,67.16133662524717
456,462,6,4,4,0.0
467,469,2,5,4,68.84350555695625
471,475,4,5,5,0.0
487,493,6,6,5,70.16284320657361
511,518,7,3,6,200.4585753050802
526,530,4,3,3,0.0
543,607,64,2,3,65.62688206384321
