start_frame,end_frame,num_frames,hole_number,previous_hole,distance
42,48,6,1,-1,0.0
52,54,2,2,1,64.23544772653055
56,58,2,3,2,65.32623492893535
59,61,2,3,3,0.0
62,64,2,4,3,67.23227956040273
66,70,4,5,4,68.84683697859182
73,76,3,6,5,70.16161636427097
79,82,3,7,6,70.69348039908235
84,91,7,8,7,70.63715078153182
94,96,2,9,8,70.12149005778242
99,101,2,10,9,69.71241070318706
104,105,1,11,10,69.74330848821143
106,108,2,11,11,0.0
112,126,14,12,11,69.51164994032081
140,141,1,12,12,0.0
145,159,14,12,12,0.0
