start_frame,end_frame,num_frames,hole_number,previous_hole,distance
2,5,3,6,-1,0.0
9,18,9,7,6,70.68023079058597
42,61,19,2,7,314.0769885668629
64,67,3,1,2,63.98498443027299
68,73,5,20,1,63.84996909049258
75,77,2,19,20,64.40711794261031
79,80,1,18,19,66.15201342591635
82,83,1,17,18,68.27854570025214
85,86,1,16,17,70.34435224680571
88,89,1,15,16,72.05118997077386
90,91,1,14,15,72.51873444187
95,97,2,12,14,142.15217439456393
100,101,1,11,12,70.42154112560925
102,103,1,10,11,69.7560928707309
108,142,34,8,10,137.87159849534623
