start_frame,end_frame,num_frames,hole_number,previous_hole,distance
17,23,6,16,-1,0.0
25,26,1,16,16,0.0
30,33,3,17,16,70.30916777304613
38,39,1,18,17,68.28799038234793
44,50,6,19,18,66.11700686904464
54,56,2,18,19,66.11700686904464
59,61,2,17,18,68.28799038234793
63,66,3,16,17,70.30916777304613
70,71,1,15,16,72.02341615318231
83,90,7,15,15,0.0
95,98,3,14,15,72.39265312276876
100,104,4,14,14,0.0
108,109,1,13,14,73.68260037995366
113,116,3,12,13,70.74820820861993
117,124,7,12,12,0.0
128,132,4,11,12,70.40967876516466
156,163,7,10,11,69.73684137292645
167,169,2,9,10,69.73371896489711
172,176,4,8,9,70.17720575430285
181,185,4,7,8,70.72073918757707
196,198,2,6,7,70.81825949236759
202,204,2,5,6,70.15234897723487
208,210,2,4,5,68.93415274380475
212,214,2,3,4,67.2065308490623
216,221,5,2,3,65.40755036969216
223,226,3,1,2,64.20814568488856
229,231,2,20,1,63.80782329234043
234,240,6,19,20,64.45225540956812
244,247,3,18,19,66.11700686904464
249,251,2,17,18,68.28799038234793
254,258,4,16,17,70.30916777304613
262,265,3,15,16,72.02341615318231
269,271,2,14,15,72.39265312276876
309,311,2,13,14,73.68260037995366
312,313,1,12,13,70.74820820861993
315,319,4,11,12,70.40967876516466
336,337,1,10,11,69.73684137292645
383,385,2,2,10,431.8320099359557
388,389,1,1,2,64.20814568488856
391,393,2,20,1,63.80782329234043
400,402,2,18,20,128.9189675618104
410,421,11,16,18,137.05162178865083
425,428,3,15,16,72.02341615318231
441,444,3,14,15,72.39265312276876
445,504,59,14,14,0.0
509,555,46,14,14,0.0
557,560,3,14,14,0.0
564,589,25,13,14,73.68260037995366
