start_frame,end_frame,num_frames,hole_number,previous_hole,distance
10,12,2,1,-1,0.0
17,23,6,2,1,63.86353171880266
25,28,3,3,2,65.65426035120025
30,31,1,4,3,67.21659931232007
33,35,2,5,4,68.9047355126497
43,44,1,7,5,139.4588321586333
48,51,3,8,7,70.69325121296286
54,58,4,9,8,70.19107343250633
60,64,4,10,9,69.76480728362652
67,70,3,11,10,69.69879750755993
72,73,1,12,11,70.45964966365389
96,98,2,7,12,311.32153951110104
106,107,1,6,7,70.75224076740473
109,110,1,5,6,70.18603299603407
112,114,2,4,5,68.9047355126497
117,118,1,3,4,67.21659931232007
120,134,14,2,3,65.65426035120025
137,141,4,1,2,63.86353171880266
143,147,4,1,1,0.0
158,160,2,3,1,127.97450990936498
163,165,2,4,3,67.21659931232007
170,173,3,5,4,68.9047355126497
179,181,2,6,5,70.18603299603407
186,189,3,7,6,70.75224076740473
191,196,5,8,7,70.69325121296286
217,220,3,4,8,265.6928547718966
222,224,2,3,4,67.21659931232007
227,235,8,2,3,65.65426035120025
237,239,2,1,2,63.86353171880266
242,245,3,20,1,63.84062035102644
321,324,3,1,20,63.84062035102644
328,491,163,2,1,63.86353171880266
495,498,3,3,2,65.65426035120025
500,507,7,4,3,67.21659931232007
511,515,4,5,4,68.9047355126497
539,547,8,5,5,0.0
563,565,2,7,5,139.4588321586333
570,584,14,8,7,70.69325121296286
585,587,2,8,8,0.0
