start_frame,end_frame,num_frames,hole_number,previous_hole,distance
36,39,3,11,-1,0.0
40,55,15,11,11,0.0
63,80,17,11,11,0.0
99,112,13,12,11,70.41875015821947
120,128,8,13,12,70.6881989739026
131,136,5,13,13,0.0
161,168,7,13,13,0.0
169,171,2,13,13,0.0
215,218,3,17,13,272.7741127764948
239,257,18,18,17,68.23485273917491
278,288,10,17,18,68.23485273917491
300,305,5,18,17,68.23485273917491
309,314,5,18,18,0.0
321,336,15,19,18,66.18249457243824
392,403,11,9,19,449.9495386522277
410,420,10,10,9,69.79904017992763
508,509,1,9,10,69.79904017992763
510,526,16,9,9,0.0
545,546,1,9,9,0.0
547,554,7,9,9,0.0
591,601,10,12,9,201.44559386006523
606,615,9,13,12,70.6881989739026
631,644,13,15,13,144.53547636472098
651,658,7,16,15,71.97435954503544
663,679,16,17,16,70.34878058018172
691,694,3,19,17,132.81872518588725
699,700,1,20,19,64.41727957492473
703,720,17,20,20,0.0
731,774,43,1,20,63.80725125026432
775,776,1,1,1,0.0
782,794,12,20,1,63.80725125026432
801,818,17,1,20,63.80725125026432
821,829,8,2,1,64.01904776247069
834,856,22,2,2,0.0
860,923,63,2,2,0.0
