start_frame,end_frame,num_frames,hole_number,previous_hole,distance
1,2,1,4,-1,0.0
27,28,1,11,4,399.4184380182407
33,35,2,9,11,137.36292886195986
37,42,5,8,9,70.07234095473738
44,48,4,7,8,70.68298384208171
52,57,5,6,7,70.66554238430834
60,66,6,5,6,69.9871611901008
69,71,2,4,5,69.0411777852194
74,75,1,3,4,67.21654464573935
78,92,14,2,3,65.40584263472606
95,98,3,1,2,64.18608105665768
101,105,4,20,1,63.85003044132501
108,109,1,19,20,64.41030919530256
134,135,1,11,19,435.60969178820073
147,154,7,8,11,201.37332107100025
157,162,5,7,8,70.68298384208171
182,187,5,7,7,0.0
195,198,3,5,7,139.14017909816636
205,206,1,3,5,134.78083780009422
212,225,13,2,3,65.40584263472606
229,231,2,1,2,64.18608105665768
232,254,22,1,1,0.0
268,271,3,20,1,63.85003044132501
295,296,1,11,20,451.1019288624889
303,304,1,9,11,137.36292886195986
307,311,4,8,9,70.07234095473738
324,331,7,8,8,0.0
334,339,5,7,8,70.68298384208171
343,370,27,6,7,70.66554238430834
375,377,2,5,6,69.9871611901008
378,379,1,5,5,0.0
391,393,2,5,5,0.0
423,455,32,5,5,0.0
503,534,31,5,5,0.0
592,602,10,7,5,139.14017909816636
607,613,6,8,7,70.68298384208171
617,618,1,9,8,70.07234095473738
625,645,20,9,9,0.0
646,649,3,9,9,0.0
650,656,6,9,9,0.0
664,667,3,10,9,69.72519302126723
668,674,6,10,10,0.0
678,679,1,11,10,69.74905849286357
686,691,5,11,11,0.0
696,699,3,12,11,70.41077371356307
702,705,3,12,12,0.0
710,711,1,12,12,0.0
711,718,7,13,12,70.38124978392695
719,723,4,13,13,0.0
725,733,8,13,13,0.0
