start_frame,end_frame,num_frames,hole_number,previous_hole,distance
2,4,2,20,-1,0.0
12,14,2,3,20,186.9462492607572
16,18,2,4,3,67.19816441926207
20,21,1,5,4,68.93387642730225
24,25,1,6,5,70.12003127641727
28,29,1,7,6,70.67500176474715
31,33,2,8,7,70.70437721221053
34,35,1,9,8,70.13196452714215
37,39,2,10,9,69.68502858659818
42,45,3,11,10,69.74661882812295
52,59,7,10,11,69.74661882812295
60,61,1,10,10,0.0
64,70,6,9,10,69.68502858659818
74,79,5,7,9,139.0317666388318
86,87,1,4,7,203.9350817488343
87,90,3,2,4,131.08764911854428
91,94,3,1,2,64.1864773808049
95,96,1,20,1,63.834656685182544
98,100,2,19,20,64.42394085406296
110,116,6,15,19,261.3941920915797
120,121,1,14,15,72.57551458374188
122,124,2,14,14,0.0
129,130,1,12,14,142.12952039432147
132,138,6,11,12,70.41214791178055
142,144,2,10,11,69.74661882812295
148,154,6,9,10,69.68502858659818
172,183,11,8,9,70.13196452714215
198,199,1,9,8,70.13196452714215
203,204,1,10,9,69.68502858659818
207,208,1,11,10,69.74661882812295
221,223,2,12,11,70.41214791178055
228,231,3,14,12,142.12952039432147
246,247,1,17,14,208.59624481555883
258,263,5,18,17,68.26387401573503
306,310,4,6,18,404.9161381775523
313,315,2,7,6,70.67500176474715
323,331,8,7,7,0.0
346,355,9,10,7,202.96749607463852
359,361,2,10,10,0.0
367,368,1,12,10,137.9974300674973
374,375,1,13,12,70.48796154720266
380,381,1,14,13,73.99903314636953
394,395,1,15,14,72.57551458374188
400,402,2,16,15,72.00398452407815
405,407,2,17,16,70.32333936416525
409,410,1,18,17,68.26387401573503
418,420,2,18,18,0.0
421,424,3,18,18,0.0
442,445,3,2,18,242.1284287481799
448,452,4,3,2,65.38008874523292
454,455,1,4,3,67.19816441926207
456,458,2,5,4,68.93387642730225
460,465,5,6,5,70.12003127641727
467,468,1,7,6,70.67500176474715
478,480,2,7,7,0.0
