start_frame,end_frame,num_frames,hole_number,previous_hole,distance
23,25,2,3,-1,0.0
28,29,1,4,3,67.2499647513619
35,36,1,6,4,137.59725541217873
43,49,6,8,6,139.8200114874727
54,57,3,9,8,70.12547842323696
58,59,1,9,9,0.0
69,70,1,11,9,137.40741117386798
78,79,1,13,11,139.33793766146766
84,85,1,14,13,73.69737793830689
90,98,8,15,14,72.43610227097258
108,112,4,15,15,0.0
114,115,1,16,15,72.07774211474765
117,118,1,16,16,0.0
122,128,6,17,16,70.3463793595736
140,145,5,17,17,0.0
171,173,2,3,17,336.150665542399
177,178,1,3,3,0.0
179,180,1,3,3,0.0
181,184,3,3,3,0.0
188,230,42,2,3,65.3141105185104
