start_frame,end_frame,num_frames,hole_number,previous_hole,distance
3,8,5,6,-1,0.0
11,14,3,5,6,70.09387039143388
17,19,2,4,5,68.87953864603148
23,25,2,2,4,131.09727292444958
27,29,2,1,2,64.18533864488265
30,34,4,1,1,0.0
37,40,3,20,1,63.78343020549347
43,44,1,19,20,64.42792663685181
49,51,2,18,19,66.1118409822345
61,65,4,16,18,137.062819737608
67,71,4,16,16,0.0
73,74,1,15,16,72.0750072926351
79,80,1,14,15,72.5221533410712
84,101,17,13,14,73.48117670216953
104,109,5,12,13,70.83146465346202
111,116,5,12,12,0.0
117,157,40,12,12,0.0
