start_frame,end_frame,num_frames,hole_number,previous_hole,distance
17,18,1,17,-1,0.0
21,24,3,18,17,68.23479901441179
28,33,5,19,18,66.10274168157733
35,37,2,20,19,64.41806374965142
39,43,4,1,20,63.79786428396246
46,55,9,2,1,64.1973628084384
58,61,3,3,2,65.38502760980037
64,67,3,4,3,67.16166176716867
70,71,1,5,4,68.91323477640925
75,76,1,6,5,70.11528370852172
77,79,2,6,6,0.0
87,100,13,8,6,139.85866425133068
103,108,5,9,8,70.15886745944518
111,114,3,10,9,69.8351225106829
122,123,1,12,10,137.97125689566218
126,128,2,13,12,70.46239570365009
134,169,35,15,13,144.64541874548414
175,207,32,16,15,72.07557838441159
