start_frame,end_frame,num_frames,hole_number,previous_hole,distance
4,17,13,15,-1,0.0
20,32,12,14,15,72.47861577497785
35,36,1,13,14,73.79823066757439
38,41,3,12,13,70.58634757319695
42,46,4,12,12,0.0
47,50,3,11,12,70.45427391398782
52,59,7,10,11,69.72411272174524
71,73,2,9,10,69.74276632377182
74,75,1,9,9,0.0
77,78,1,8,9,70.14833918111198
80,83,3,7,8,70.62335339510828
85,87,2,7,7,0.0
119,122,3,5,7,139.45377075982864
143,145,2,5,5,0.0
147,152,5,4,5,68.9060477600166
161,164,3,4,4,0.0
166,167,1,3,4,67.26226968693432
169,174,5,2,3,65.42676039139036
182,188,6,1,2,64.21482546778002
190,198,8,20,1,63.76470594126211
201,202,1,19,20,64.46112949109333
204,206,2,18,19,66.11078979869704
208,210,2,17,18,68.27302469090341
213,228,15,16,17,70.17190077586696
233,245,12,16,16,0.0
