start_frame,end_frame,num_frames,hole_number,previous_hole,distance
46,49,3,15,-1,0.0
50,83,33,15,15,0.0
85,90,5,15,15,0.0
99,111,12,15,15,0.0
117,129,12,15,15,0.0
141,160,19,16,15,72.49659143127438
169,189,20,16,16,0.0
202,230,28,16,16,0.0
239,256,17,16,16,0.0
257,276,19,16,16,0.0
284,350,66,15,16,72.49659143127438
366,369,3,15,15,0.0
375,376,1,14,15,71.88639728870004
379,384,5,14,14,0.0
385,398,13,14,14,0.0
404,644,240,15,14,71.88639728870004
651,663,12,15,15,0.0
667,697,30,15,15,0.0
707,717,10,14,15,71.88639728870004
731,739,8,14,14,0.0
743,752,9,14,14,0.0
758,843,85,15,14,71.88639728870004
844,915,71,15,15,0.0
920,1195,275,15,15,0.0
1206,1211,5,15,15,0.0
