start_frame,end_frame,num_frames,hole_number,previous_hole,distance
82,84,2,5,-1,0.0
88,97,9,4,5,68.9028246236484
103,111,8,3,4,67.183717985726
114,120,6,2,3,65.40166551986952
123,133,10,1,2,64.22005224836761
142,143,1,20,1,63.54715044274855
157,259,102,20,20,0.0
286,287,1,20,20,0.0
297,341,44,20,20,0.0
350,387,37,20,20,0.0
396,408,12,19,20,64.6265216711794
414,430,16,18,19,66.1334742363034
433,434,1,17,18,68.32233970344485
437,440,3,16,17,70.34099549575055
443,445,2,15,16,72.02959390750263
448,451,3,14,15,72.49683258564096
454,474,20,13,14,73.76451345603589
477,481,4,13,13,0.0
484,487,3,12,13,70.51688770825359
493,496,3,12,12,0.0
498,499,1,12,12,0.0
