start_frame,end_frame,num_frames,hole_number,previous_hole,distance
74,82,8,18,-1,0.0
96,107,11,17,18,68.21304957744043
112,121,9,17,17,0.0
133,162,29,17,17,0.0
182,190,8,18,17,68.21304957744043
191,198,7,18,18,0.0
226,242,16,17,18,68.21304957744043
340,349,9,4,17,371.0628011701735
362,384,22,5,4,68.88070286209279
443,446,3,5,5,0.0
474,490,16,6,5,70.10587189419694
508,522,14,5,6,70.10587189419694
531,551,20,5,5,0.0
751,768,17,5,5,0.0
867,869,2,5,5,0.0
913,939,26,5,5,0.0
941,946,5,5,5,0.0
1051,1053,2,5,5,0.0
1076,1078,2,7,5,139.29633559983816
1094,1105,11,7,7,0.0
1112,1123,11,8,7,70.67943296914427
1124,1126,2,8,8,0.0
1133,1135,2,9,8,70.10246789617362
1149,1154,5,10,9,69.7415571173546
1161,1162,1,11,10,69.71838560265225
1186,1193,7,13,11,139.3482135163809
1209,1214,5,15,13,144.55599830535968
1226,1231,5,16,15,71.99664003672589
1252,1254,2,18,16,137.07179904993808
1273,1276,3,19,18,66.1325143996467
1314,1347,33,2,19,185.9257733114856
