start_frame,end_frame,num_frames,hole_number,previous_hole,distance
20,21,1,20,-1,0.0
23,27,4,1,20,63.81399224051198
30,57,27,2,1,64.42469236860906
58,72,14,2,2,0.0
76,78,2,3,2,65.19472364252898
90,105,15,2,3,65.19472364252898
108,115,7,2,2,0.0
124,147,23,2,2,0.0
155,156,1,1,2,64.42469236860906
159,163,4,20,1,63.81399224051198
164,175,11,20,20,0.0
181,187,6,20,20,0.0
188,189,1,20,20,0.0
193,198,5,19,20,64.43098189535236
207,220,13,19,19,0.0
229,241,12,2,19,186.0534192578835
251,257,6,3,2,65.19472364252898
282,284,2,6,3,200.6327883359916
293,294,1,7,6,70.71538670329656
295,296,1,7,7,0.0
297,318,21,7,7,0.0
343,347,4,6,7,70.71538670329656
349,354,5,6,6,0.0
430,434,4,2,6,257.2939732936388
442,456,14,2,2,0.0
458,678,220,2,2,0.0
