start_frame,end_frame,num_frames,hole_number,previous_hole,distance
70,87,17,19,-1,0.0
92,105,13,19,19,0.0
110,119,9,20,19,64.34872785429371
130,139,9,19,20,64.34872785429371
146,155,9,20,19,64.34872785429371
163,170,7,19,20,64.34872785429371
181,192,11,19,19,0.0
198,210,12,20,19,64.34872785429371
215,218,3,20,20,0.0
244,248,4,19,20,64.34872785429371
270,279,9,19,19,0.0
287,290,3,20,19,64.34872785429371
304,310,6,20,20,0.0
318,331,13,19,20,64.34872785429371
350,355,5,18,19,66.15974989068897
359,379,20,18,18,0.0
387,390,3,18,18,0.0
398,402,4,18,18,0.0
414,428,14,19,18,66.15974989068897
444,452,8,18,19,66.15974989068897
531,532,1,15,18,204.49262321250464
549,553,4,13,15,144.48911332091993
561,566,5,13,13,0.0
574,583,9,12,13,70.75462192673135
586,593,7,12,12,0.0
615,616,1,11,12,70.42137971744327
617,624,7,11,11,0.0
628,641,13,11,11,0.0
653,658,5,10,11,69.72220134801765
697,701,4,8,10,137.90354335896666
704,706,2,8,8,0.0
737,745,8,7,8,70.69885350334609
752,761,9,8,7,70.69885350334609
769,774,5,9,8,70.12044355016127
784,789,5,9,9,0.0
796,799,3,10,9,69.78202079892681
804,813,9,11,10,69.72220134801765
817,827,10,11,11,0.0
855,859,4,15,11,268.35863073873423
862,870,8,15,15,0.0
874,888,14,16,15,72.0027675843879
898,900,2,17,16,70.33597350813615
905,914,9,18,17,68.31161576722478
927,933,6,19,18,66.15974989068897
940,942,2,20,19,64.34872785429371
947,965,18,1,20,63.832175222268354
966,976,10,1,1,0.0
1003,1025,22,1,1,0.0
1026,1040,14,1,1,0.0
1044,1058,14,2,1,64.284722446475
1068,1100,32,2,2,0.0
1101,1122,21,2,2,0.0
1125,1139,14,2,2,0.0
1149,1157,8,2,2,0.0
1163,1167,4,1,2,64.284722446475
1171,1181,10,2,1,64.284722446475
1190,1235,45,2,2,0.0
