start_frame,end_frame,num_frames,hole_number,previous_hole,distance
36,38,2,16,-1,0.0
40,42,2,17,16,70.34296842900582
49,57,8,17,17,0.0
64,68,4,19,17,132.8318276084408
74,77,3,19,19,0.0
79,88,9,20,19,64.41718340101868
91,94,3,1,20,63.80235391640861
96,107,11,2,1,64.19065187782334
110,115,5,2,2,0.0
117,119,2,3,2,65.44482136261706
124,131,7,3,3,0.0
145,146,1,6,3,200.56808135671255
150,155,5,7,6,70.77218254391582
164,165,1,9,7,139.07342060384414
174,182,8,10,9,69.71141989316858
188,196,8,10,10,0.0
199,207,8,10,10,0.0
208,227,19,10,10,0.0
229,237,8,10,10,0.0
243,245,2,10,10,0.0
250,252,2,10,10,0.0
261,273,12,10,10,0.0
276,277,1,10,10,0.0
279,298,19,10,10,0.0
322,326,4,10,10,0.0
345,375,30,10,10,0.0
447,470,23,10,10,0.0
525,537,12,10,10,0.0
570,571,1,10,10,0.0
835,836,1,10,10,0.0
997,998,1,10,10,0.0
1000,1001,1,10,10,0.0
1002,1003,1,10,10,0.0
1005,1010,5,10,10,0.0
1017,1024,7,10,10,0.0
1033,1034,1,12,10,138.2074343628639
1035,1063,28,12,12,0.0
1065,1067,2,12,12,0.0
1069,1080,11,12,12,0.0
1084,1086,2,12,12,0.0
1100,1138,38,12,12,0.0
