start_frame,end_frame,num_frames,hole_number,previous_hole,distance
62,75,13,6,-1,0.0
82,89,7,7,6,70.67560145169364
116,121,5,6,7,70.67560145169364
123,135,12,6,6,0.0
144,153,9,6,6,0.0
156,163,7,5,6,70.28254250275394
166,169,3,4,5,68.96593379780697
172,174,2,3,4,67.29455709492255
181,184,3,2,3,65.46263635224037
187,189,2,1,2,64.27250483674828
194,211,17,20,1,63.79082529335073
215,224,9,19,20,64.398864963317
225,249,24,19,19,0.0
252,255,3,18,19,66.14100211379547
260,268,8,18,18,0.0
285,310,25,17,18,68.24717553625958
312,316,4,17,17,0.0
322,359,37,16,17,70.04032915829463
360,361,1,16,16,0.0
370,379,9,16,16,0.0
