start_frame,end_frame,num_frames,hole_number,previous_hole,distance
19,22,3,16,-1,0.0
25,29,4,17,16,70.30424006710193
34,38,4,18,17,68.32656701802897
40,43,3,19,18,66.09857781411782
44,46,2,20,19,64.45263900536808
57,58,1,3,20,186.968477092465
64,65,1,5,3,134.6949246001006
99,103,4,16,5,416.8341965230917
105,106,1,16,16,0.0
108,110,2,16,16,0.0
117,118,1,16,16,0.0
120,124,4,16,16,0.0
127,137,10,17,16,70.30424006710193
141,143,2,17,17,0.0
161,162,1,15,17,140.76991703031555
167,169,2,15,15,0.0
190,195,5,16,15,72.02043285472688
268,269,1,16,16,0.0
270,282,12,16,16,0.0
290,298,8,17,16,70.30424006710193
302,306,4,17,17,0.0
312,314,2,19,17,132.82325294924897
316,321,5,20,19,64.45263900536808
323,327,4,1,20,63.76884409320342
330,351,21,2,1,64.18893064406757
354,356,2,3,2,65.44001638331493
366,367,1,6,3,200.53389703625692
387,391,4,5,6,70.10969987245913
432,434,2,3,5,134.6949246001006
449,454,5,2,3,65.44001638331493
458,459,1,1,2,64.18893064406757
474,475,1,20,1,63.76884409320342
490,500,10,18,20,128.90906564768798
516,531,15,18,18,0.0
555,560,5,18,18,0.0
585,591,6,17,18,68.32656701802897
595,602,7,16,17,70.30424006710193
607,611,4,15,16,72.02043285472688
615,621,6,14,15,72.51064612150067
626,628,2,13,14,73.72220862953259
