start_frame,end_frame,num_frames,hole_number,previous_hole,distance
17,26,9,9,-1,0.0
36,41,5,8,9,70.13705890290724
44,63,19,7,8,70.67994822367727
67,74,7,6,7,70.77439900051907
78,87,9,5,6,70.1269207313278
90,93,3,4,5,68.91293205095857
95,98,3,3,4,67.20742790383528
100,101,1,2,3,65.40758789280711
104,121,17,1,2,64.22824748679757
127,144,17,20,1,63.63924245465111
156,205,49,20,20,0.0
214,224,10,1,20,63.63924245465111
241,249,8,2,1,64.22824748679757
252,257,5,3,2,65.40758789280711
259,263,4,4,3,67.20742790383528
266,267,1,5,4,68.91293205095857
270,271,1,6,5,70.1269207313278
275,276,1,7,6,70.77439900051907
279,288,9,8,7,70.67994822367727
299,303,4,9,8,70.13705890290724
304,305,1,9,9,0.0
306,309,3,9,9,0.0
311,313,2,10,9,69.73456499532628
314,315,1,10,10,0.0
318,325,7,10,10,0.0
335,368,33,11,10,69.70807210232529
369,374,5,11,11,0.0
381,463,82,12,11,70.84177008021496
