start_frame,end_frame,num_frames,hole_number,previous_hole,distance
2,4,2,7,-1,0.0
6,8,2,6,7,70.41623907334147
10,11,1,5,6,70.19202660749923
12,14,2,4,5,68.94413878099974
18,20,2,2,4,131.0903687522691
24,31,7,20,2,126.32436248277578
33,35,2,19,20,64.42986390798204
42,43,1,16,19,198.52982720208556
47,49,2,14,16,142.975630549417
56,58,2,11,14,206.66862547196607
60,61,1,10,11,69.74546089009432
62,64,2,9,10,69.70609122874589
65,68,3,8,9,70.13008046053628
70,81,11,7,8,70.75849597651379
88,100,12,6,7,70.41623907334147
102,120,18,6,6,0.0
136,139,3,7,6,70.41623907334147
144,151,7,7,7,0.0
153,155,2,7,7,0.0
188,190,2,7,7,0.0
196,226,30,7,7,0.0
230,239,9,8,7,70.75849597651379
241,249,8,9,8,70.13008046053628
252,264,12,10,9,69.70609122874589
267,269,2,11,10,69.74546089009432
270,271,1,11,11,0.0
273,285,12,11,11,0.0
290,299,9,11,11,0.0
300,301,1,11,11,0.0
303,305,2,11,11,0.0
307,308,1,11,11,0.0
321,324,3,11,11,0.0
336,349,13,11,11,0.0
373,380,7,11,11,0.0
434,436,2,11,11,0.0
443,456,13,11,11,0.0
458,465,7,11,11,0.0
