start_frame,end_frame,num_frames,hole_number,previous_hole,distance
3,4,1,12,-1,0.0
6,8,2,11,12,70.42723481917443
12,13,1,10,11,69.76510774666576
16,17,1,9,10,69.69436817365576
24,25,1,11,9,137.34748393700266
27,29,2,12,11,70.42723481917443
32,33,1,13,12,70.42075756713444
39,43,4,14,13,74.12546656394629
46,53,7,15,14,72.55362919908666
56,58,2,16,15,72.05282674046722
60,61,1,17,16,70.32289972320709
64,71,7,18,17,68.27229953837187
74,78,4,19,18,66.16682717620513
81,86,5,20,19,64.43498114126272
90,94,4,1,20,63.81124876908046
99,102,3,2,1,64.20266903423727
105,136,31,3,2,65.2157212474612
137,148,11,3,3,0.0
152,160,8,4,3,67.40758540042623
162,164,2,5,4,68.92357014857853
167,174,7,6,5,70.11067617643187
175,177,2,7,6,70.73943471819304
178,217,39,8,7,70.4127035108667
