start_frame,end_frame,num_frames,hole_number,previous_hole,distance
13,14,1,20,-1,0.0
16,18,2,1,20,63.78933989767303
20,27,7,2,1,64.18438371162803
29,33,4,3,2,65.42131652179022
35,36,1,4,3,67.20301815262894
40,42,2,5,4,68.92231674027207
44,52,8,6,5,70.14004337181211
55,63,8,7,6,70.7750509457557
70,83,13,8,7,70.66038331385565
86,89,3,9,8,70.17319685089402
93,96,3,10,9,69.72911197378438
97,103,6,10,10,0.0
105,117,12,11,10,69.71055296796027
121,135,14,12,11,70.42001834350165
137,138,1,13,12,70.6648929405668
142,153,11,14,13,73.72236702128735
155,170,15,15,14,72.46132036576441
175,237,62,16,15,72.47659876740303
