start_frame,end_frame,num_frames,hole_number,previous_hole,distance
20,34,14,3,-1,0.0
39,44,5,2,3,65.27928603449239
46,48,2,1,2,64.2506778507833
50,53,3,20,1,63.8299431693516
54,56,2,19,20,64.39410829603679
59,63,4,18,19,66.17799148400815
65,67,2,17,18,68.26864499087895
69,70,1,16,17,70.34753982097429
71,75,4,16,16,0.0
77,80,3,15,16,72.01207290686611
82,84,2,14,15,72.56391582118633
94,95,1,12,14,142.13853988604637
97,98,1,11,12,70.39668634921395
100,102,2,10,11,69.75390741939526
104,106,2,9,10,69.71492465731356
110,148,38,8,9,70.10434321099753
