start_frame,end_frame,num_frames,hole_number,previous_hole,distance
19,34,15,19,-1,0.0
46,58,12,18,19,66.18719524232252
76,89,13,18,18,0.0
92,105,13,18,18,0.0
122,134,12,19,18,66.18719524232252
164,184,20,18,19,66.18719524232252
254,278,24,19,18,66.18719524232252
279,294,15,19,19,0.0
297,339,42,19,19,0.0
340,470,130,19,19,0.0
471,472,1,19,19,0.0
474,489,15,19,19,0.0
490,520,30,19,19,0.0
524,550,26,19,19,0.0
553,580,27,19,19,0.0
588,596,8,18,19,66.18719524232252
602,614,12,17,18,68.32192862290874
619,634,15,16,17,70.30502016983226
639,640,1,15,16,71.98692777327253
642,650,8,15,15,0.0
678,680,2,15,15,0.0
689,690,1,14,15,72.52944775447276
697,698,1,13,14,73.66358184349787
727,736,9,11,13,139.3452139853432
781,783,2,14,11,206.5621833670301
880,881,1,18,14,267.7644282774246
882,893,11,18,18,0.0
933,939,6,20,18,128.93611172667622
942,950,8,20,20,0.0
1007,1071,64,2,20,125.86121888655518
