start_frame,end_frame,num_frames,hole_number,previous_hole,distance
12,26,14,10,-1,0.0
28,29,1,10,10,0.0
34,40,6,9,10,69.71024429085563
41,42,1,9,9,0.0
45,48,3,10,9,69.71024429085563
53,54,1,11,10,69.77762810987045
65,71,6,12,11,69.96874241815699
74,80,6,12,12,0.0
82,107,25,12,12,0.0
118,281,163,12,12,0.0
287,322,35,12,12,0.0
328,538,210,12,12,0.0
543,750,207,12,12,0.0
758,773,15,11,12,69.96874241815699
774,796,22,11,11,0.0
820,861,41,11,11,0.0
877,898,21,12,11,69.96874241815699
904,907,3,13,12,70.50606180004819
909,910,1,13,13,0.0
917,927,10,13,13,0.0
929,1024,95,13,13,0.0
1026,1030,4,13,13,0.0
1040,1041,1,13,13,0.0
1051,1070,19,13,13,0.0
1073,1100,27,13,13,0.0
1102,1103,1,13,13,0.0
1104,1137,33,13,13,0.0
1139,1168,29,13,13,0.0
