start_frame,end_frame,num_frames,hole_number,previous_hole,distance
16,17,1,11,-1,0.0
20,23,3,10,11,69.7570724574749
25,26,1,9,10,69.72001704327316
32,34,2,11,9,137.3628151480162
36,41,5,12,11,70.3400333451253
43,46,3,12,12,0.0
52,55,3,11,12,70.3400333451253
57,73,16,12,11,70.3400333451253
74,77,3,12,12,0.0
84,88,4,11,12,70.3400333451253
90,106,16,12,11,70.3400333451253
107,112,5,12,12,0.0
113,124,11,12,12,0.0
126,130,4,12,12,0.0
133,145,12,13,12,70.81475479744971
150,160,10,14,13,73.57741654912896
164,177,13,13,14,73.57741654912896
178,181,3,12,13,70.81475479744971
183,186,3,11,12,70.3400333451253
187,188,1,11,11,0.0
192,201,9,12,11,70.3400333451253
247,255,8,16,12,271.5023873376976
257,259,2,15,16,72.02725387712375
263,274,11,15,15,0.0
277,281,4,14,15,72.53389839226315
284,285,1,13,14,73.57741654912896
288,292,4,12,13,70.81475479744971
295,312,17,11,12,70.3400333451253
315,320,5,10,11,69.7570724574749
325,334,9,9,10,69.72001704327316
340,365,25,8,9,70.05480469378747
366,367,1,8,8,0.0
383,400,17,8,8,0.0
417,418,1,8,8,0.0
435,436,1,6,8,139.91288376346856
439,448,9,5,6,70.09960243645173
451,459,8,4,5,68.91272353552442
461,464,3,3,4,67.201808578014
465,469,4,2,3,65.39224889922566
481,488,7,18,2,242.0695496630841
506,509,3,12,18,372.2748507743715
513,514,1,11,12,70.3400333451253
518,521,3,12,11,70.3400333451253
522,528,6,12,12,0.0
535,542,7,12,12,0.0
558,563,5,12,12,0.0
