start_frame,end_frame,num_frames,hole_number,previous_hole,distance
11,13,2,2,-1,0.0
23,24,1,9,2,403.45068961959913
25,26,1,10,9,69.72391863661088
27,29,2,11,10,69.75212442355222
32,36,4,12,11,70.40702764597275
40,41,1,13,12,70.6464641098538
46,47,1,13,13,0.0
51,53,2,12,13,70.6464641098538
60,61,1,11,12,70.40702764597275
69,71,2,10,11,69.75212442355222
75,76,1,9,10,69.72391863661088
78,79,1,9,9,0.0
83,84,1,8,9,70.11994025797797
86,88,2,8,8,0.0
90,92,2,8,8,0.0
97,101,4,7,8,70.72357827793968
108,112,4,6,7,70.72186519760376
115,118,3,5,6,70.15092970909605
120,123,3,5,5,0.0
130,132,2,4,5,68.91654624117723
136,140,4,3,4,67.19880335801383
141,143,2,3,3,0.0
146,151,5,2,3,65.4154205046763
152,156,4,2,2,0.0
159,170,11,1,2,64.11279780886142
176,183,7,1,1,0.0
184,191,7,1,1,0.0
193,201,8,1,1,0.0
202,203,1,1,1,0.0
281,285,4,1,1,0.0
291,295,4,1,1,0.0
296,298,2,1,1,0.0
300,302,2,1,1,0.0
306,307,1,1,1,0.0
308,313,5,1,1,0.0
318,324,6,1,1,0.0
328,340,12,1,1,0.0
343,351,8,1,1,0.0
355,366,11,1,1,0.0
372,373,1,1,1,0.0
375,378,3,1,1,0.0
380,381,1,1,1,0.0
407,410,3,1,1,0.0
411,418,7,1,1,0.0
421,447,26,1,1,0.0
449,456,7,1,1,0.0
464,470,6,1,1,0.0
475,479,4,1,1,0.0
490,515,25,1,1,0.0
536,545,9,1,1,0.0
548,557,9,1,1,0.0
