start_frame,end_frame,num_frames,hole_number,previous_hole,distance
1,7,6,10,-1,0.0
11,15,4,10,10,0.0
19,29,10,11,10,69.74640972891895
37,39,2,12,11,70.40386791648471
40,45,5,12,12,0.0
55,56,1,11,12,70.40386791648471
59,60,1,10,11,69.74640972891895
64,66,2,9,10,69.70879957709623
69,71,2,8,9,70.0486744602315
72,79,7,8,8,0.0
83,87,4,7,8,70.78086636624472
95,96,1,6,7,70.68992926706538
97,121,24,6,6,0.0
127,130,3,5,6,70.18371952522254
133,141,8,5,5,0.0
145,164,19,4,5,68.87944251370755
180,182,2,5,4,68.87944251370755
186,190,4,6,5,70.18371952522254
193,195,2,7,6,70.68992926706538
198,201,3,8,7,70.78086636624472
205,213,8,9,8,70.0486744602315
216,221,5,9,9,0.0
230,231,1,10,9,69.70879957709623
236,241,5,11,10,69.74640972891895
243,246,3,11,11,0.0
252,254,2,12,11,70.40386791648471
255,256,1,12,12,0.0
262,265,3,13,12,70.53822725330609
267,271,4,13,13,0.0
278,283,5,14,13,74.02596196072805
289,296,7,15,14,72.60813564852705
301,306,5,16,15,72.01350923934724
307,324,17,16,16,0.0
327,337,10,16,16,0.0
346,353,7,16,16,0.0
359,361,2,15,16,72.01350923934724
371,372,1,13,15,145.0563484383214
375,378,3,12,13,70.53822725330609
381,382,1,11,12,70.40386791648471
384,386,2,11,11,0.0
389,391,2,10,11,69.74640972891895
395,397,2,9,10,69.70879957709623
404,414,10,8,9,70.0486744602315
415,436,21,8,8,0.0
440,443,3,7,8,70.78086636624472
445,455,10,7,7,0.0
475,631,156,7,7,0.0
633,707,74,7,7,0.0
712,722,10,8,7,70.78086636624472
727,735,8,9,8,70.0486744602315
