start_frame,end_frame,num_frames,hole_number,previous_hole,distance
29,30,1,3,-1,0.0
32,33,1,3,3,0.0
35,44,9,3,3,0.0
69,70,1,4,3,67.0481480685282
71,74,3,4,4,0.0
77,135,58,4,4,0.0
141,172,31,4,4,0.0
185,186,1,5,4,68.99596225049746
187,191,4,5,5,0.0
193,195,2,5,5,0.0
204,219,15,6,5,70.12871560409077
221,245,24,6,6,0.0
253,260,7,5,6,70.12871560409077
263,275,12,5,5,0.0
301,326,25,4,5,68.99596225049746
339,363,24,4,4,0.0
369,392,23,3,4,67.0481480685282
400,479,79,2,3,65.37670334997775
485,495,10,1,2,64.26444200042002
499,515,16,20,1,63.74458171618684
517,538,21,20,20,0.0
548,553,5,20,20,0.0
558,562,4,19,20,64.45065537231429
566,572,6,18,19,66.12187055382616
576,581,5,17,18,68.20538429354843
582,624,42,17,17,0.0
628,736,108,16,17,70.12229345076607
