start_frame,end_frame,num_frames,hole_number,previous_hole,distance
50,55,5,7,-1,0.0
61,68,7,6,7,70.81503873393146
148,226,78,14,6,410.1673652100512
229,231,2,14,14,0.0
233,262,29,14,14,0.0
264,295,31,14,14,0.0
298,308,10,14,14,0.0
320,328,8,13,14,73.67360545940194
331,345,14,13,13,0.0
349,361,12,12,13,70.6386735157156
367,372,5,11,12,70.46298654672903
375,378,3,10,11,69.67478210985473
383,384,1,9,10,69.71479060137932
390,391,1,8,9,70.12706671718071
391,407,16,6,8,139.94447064915502
427,430,3,2,6,257.69180868184634
433,434,1,1,2,64.27546244104863
653,657,4,19,1,126.5768647557284
659,663,4,18,19,66.10486134881535
666,685,19,17,18,68.28414719350484
690,703,13,16,17,70.16455002588866
