start_frame,end_frame,num_frames,hole_number,previous_hole,distance
6,9,3,20,-1,0.0
10,12,2,20,20,0.0
14,22,8,1,20,63.77450963572594
24,30,6,20,1,63.77450963572594
34,48,14,19,20,64.42415385747282
55,69,14,18,19,66.17731758654568
72,74,2,17,18,68.3379273452621
78,90,12,16,17,70.30359621537274
95,107,12,15,16,72.01020670236763
110,114,4,14,15,72.58941791803579
119,125,6,13,14,74.09083643427532
128,134,6,12,13,70.45922626522565
138,150,12,11,12,70.38714548977993
154,159,5,10,11,69.74357821128464
162,165,3,9,10,69.73906451186433
169,194,25,8,9,69.95299094425921
195,196,1,8,8,0.0
197,222,25,8,8,0.0
