start_frame,end_frame,num_frames,hole_number,previous_hole,distance
19,21,2,13,-1,0.0
26,27,1,12,13,70.6413001254672
34,37,3,11,12,70.46097175520863
54,56,2,7,11,260.9632481107112
71,72,1,4,7,204.03663118108705
74,76,2,3,4,67.26038700970922
80,91,11,2,3,65.39274761460898
102,113,11,2,2,0.0
115,118,3,3,2,65.39274761460898
123,124,1,3,3,0.0
127,129,2,2,3,65.39274761460898
132,139,7,2,2,0.0
145,146,1,1,2,64.1276160285886
149,156,7,2,1,64.1276160285886
159,169,10,3,2,65.39274761460898
172,178,6,4,3,67.26038700970922
182,183,1,3,4,67.26038700970922
185,195,10,2,3,65.39274761460898
197,209,12,2,2,0.0
217,229,12,2,2,0.0
235,241,6,2,2,0.0
245,255,10,2,2,0.0
257,265,8,2,2,0.0
270,278,8,1,2,64.1276160285886
285,288,3,1,1,0.0
291,292,1,1,1,0.0
293,306,13,2,1,64.1276160285886
312,314,2,2,2,0.0
319,323,4,3,2,65.39274761460898
327,330,3,4,3,67.26038700970922
334,339,5,5,4,68.9252735954321
341,345,4,6,5,70.15480249267763
348,353,5,6,6,0.0
358,361,3,7,6,70.77614847271157
364,371,7,7,7,0.0
374,379,5,8,7,70.72830199550104
387,391,4,8,8,0.0
394,397,3,9,8,70.20077941605356
400,408,8,10,9,69.75131171713946
411,418,7,11,10,69.71610539224066
433,439,6,11,11,0.0
449,456,7,12,11,70.46097175520863
457,462,5,12,12,0.0
467,468,1,13,12,70.6413001254672
522,529,7,4,13,433.314569533614
535,537,2,4,4,0.0
539,540,1,3,4,67.26038700970922
542,549,7,2,3,65.39274761460898
555,564,9,2,2,0.0
567,571,4,2,2,0.0
573,610,37,1,2,64.1276160285886
613,616,3,1,1,0.0
