start_frame,end_frame,num_frames,hole_number,previous_hole,distance
22,24,2,4,-1,0.0
26,40,14,3,4,67.26386222315635
44,105,61,2,3,64.45379434980177
110,660,550,2,2,0.0
662,663,1,2,2,0.0
674,685,11,2,2,0.0
686,760,74,2,2,0.0
761,762,1,2,2,0.0
770,784,14,2,2,0.0
797,809,12,3,2,64.45379434980177
813,824,11,4,3,67.26386222315635
829,836,7,5,4,68.91830911212924
846,870,24,6,5,70.11435913960432
876,891,15,6,6,0.0
894,896,2,6,6,0.0
931,934,3,1,6,306.8330619109562
964,984,20,15,1,350.7798502518769
990,999,9,15,15,0.0
1005,1082,77,14,15,72.40342353011643
1091,1105,14,14,14,0.0
1116,1122,6,14,14,0.0
1133,1154,21,15,14,72.40342353011643
1162,1186,24,16,15,72.41137520987205
