start_frame,end_frame,num_frames,hole_number,previous_hole,distance
2,3,1,19,-1,0.0
6,10,4,18,19,66.14647834439722
19,25,6,19,18,66.14647834439722
36,91,55,20,19,64.30992548423562
96,98,2,20,20,0.0
103,110,7,1,20,63.90933539193753
113,124,11,1,1,0.0
133,139,6,2,1,64.2390820655583
143,144,1,3,2,65.38320258076104
145,146,1,3,3,0.0
147,163,16,3,3,0.0
167,181,14,4,3,67.26063567867477
199,203,4,5,4,68.98126452294198
221,225,4,6,5,70.09858324342483
233,247,14,7,6,70.75931608221191
257,261,4,9,7,139.08996306086107
268,291,23,10,9,69.73329667855852
294,300,6,11,10,69.73656124586317
308,317,9,12,11,69.88161707899029
323,330,7,12,12,0.0
338,339,1,12,12,0.0
343,348,5,12,12,0.0
