start_frame,end_frame,num_frames,hole_number,previous_hole,distance
0,1,1,18,-1,0.0
1,17,16,20,18,128.86687600543286
32,33,1,20,20,0.0
36,39,3,1,20,63.814007425763705
42,43,1,2,1,64.19994553347169
46,67,21,3,2,65.36151690087293
71,73,2,4,3,67.22852685714606
75,80,5,5,4,68.97573603992726
88,95,7,5,5,0.0
99,100,1,6,5,70.04611362706555
101,111,10,6,6,0.0
166,167,1,5,6,70.04611362706555
182,273,91,5,5,0.0
301,327,26,6,5,70.04611362706555
364,383,19,6,6,0.0
384,394,10,6,6,0.0
396,402,6,6,6,0.0
403,407,4,6,6,0.0
408,410,2,6,6,0.0
415,418,3,6,6,0.0
419,428,9,6,6,0.0
430,438,8,6,6,0.0
439,444,5,6,6,0.0
465,474,9,6,6,0.0
478,480,2,8,6,139.8643957941771
481,487,6,9,8,70.12390545915123
489,501,12,10,9,69.71736975800188
508,510,2,10,10,0.0
518,520,2,10,10,0.0
524,539,15,11,10,69.73304767042598
541,547,6,12,11,70.4737299596355
549,554,5,12,12,0.0
556,559,3,12,12,0.0
567,573,6,12,12,0.0
