start_frame,end_frame,num_frames,hole_number,previous_hole,distance
11,13,2,20,-1,0.0
14,20,6,1,20,63.81057545354997
22,29,7,2,1,64.17254965393415
31,34,3,3,2,65.44666029588521
39,44,5,4,3,67.20165543104959
46,54,8,5,4,68.92794435924272
56,59,3,6,5,70.16162225965834
61,86,25,7,6,70.74367667004847
90,111,21,8,7,70.72114181799954
113,118,5,9,8,70.20586444008222
120,126,6,10,9,69.71689769141557
127,139,12,11,10,69.72154991161334
141,145,4,12,11,70.42196388755583
146,149,3,12,12,0.0
152,153,1,13,12,70.62950598661372
156,167,11,14,13,73.69143490418575
169,170,1,14,14,0.0
173,181,8,15,14,72.48294286717852
184,191,7,16,15,72.22790755679934
194,234,40,16,16,0.0
