start_frame,end_frame,num_frames,hole_number,previous_hole,distance
27,34,7,6,-1,0.0
36,39,3,5,6,70.19315219332411
41,48,7,4,5,68.89652424740744
49,71,22,3,4,67.14036235814724
73,78,5,2,3,65.53138454079112
80,85,5,1,2,64.1598283434018
86,91,5,1,1,0.0
92,98,6,20,1,63.8427348241275
101,109,8,19,20,64.39268708230163
119,121,2,16,19,198.6049870494165
124,126,2,15,16,72.02129769142816
129,130,1,14,15,72.53018571230167
136,139,3,12,14,142.1637937562221
142,145,3,11,12,70.4224203808441
148,150,2,10,11,69.72609571221858
154,169,15,9,10,69.67477081453814
171,182,11,9,9,0.0
186,205,19,8,9,70.49438842631304
